"Date","Price","Open","High","Low","Change %"
"Feb 02, 2022","5.2620","5.2687","5.3151","5.2540","-0.07%"
"Feb 01, 2022","5.2655","5.2983","5.3182","5.2639","-0.73%"
"Jan 31, 2022","5.3041","5.3698","5.3981","5.2838","-1.18%"
"Jan 28, 2022","5.3674","5.4099","5.4331","5.3664","-0.72%"
"Jan 27, 2022","5.4065","5.4336","5.4355","5.3532","-0.48%"
"Jan 26, 2022","5.4324","5.4456","5.4676","5.3918","-0.21%"
"Jan 25, 2022","5.4437","5.4880","5.5220","5.4278","-0.80%"
"Jan 24, 2022","5.4877","5.4528","5.5251","5.4528","0.54%"
"Jan 21, 2022","5.4582","5.4220","5.4752","5.4035","0.72%"
"Jan 20, 2022","5.4191","5.4428","5.4620","5.3790","-0.35%"
"Jan 19, 2022","5.4383","5.5484","5.5527","5.4372","-2.30%"
"Jan 18, 2022","5.5666","5.5217","5.5832","5.5043","0.91%"
"Jan 17, 2022","5.5165","5.5352","5.5390","5.4940","-0.32%"
"Jan 14, 2022","5.5344","5.5287","5.5537","5.5080","0.10%"
"Jan 13, 2022","5.5286","5.5350","5.5560","5.5005","-0.09%"
"Jan 12, 2022","5.5338","5.5660","5.6012","5.5195","-0.62%"
"Jan 11, 2022","5.5686","5.6657","5.6761","5.5635","-1.67%"
"Jan 10, 2022","5.6633","5.6340","5.6930","5.6286","0.49%"
"Jan 07, 2022","5.6355","5.6869","5.7106","5.6191","-0.84%"
"Jan 06, 2022","5.6834","5.6878","5.7255","5.6694","-0.44%"
"Jan 05, 2022","5.7087","5.6774","5.7242","5.6418","0.56%"
"Jan 04, 2022","5.6770","5.6666","5.7112","5.6371","-0.08%"
"Jan 03, 2022","5.6818","5.5668","5.6827","5.5564","2.00%"
"Dec 31, 2021","5.5703","5.5715","5.5717","5.5711","-0.01%"
"Dec 30, 2021","5.5710","5.6957","5.7039","5.5469","-2.32%"
"Dec 29, 2021","5.7032","5.6356","5.7105","5.6235","1.33%"
"Dec 28, 2021","5.6283","5.6262","5.6627","5.6195","0.06%"
"Dec 27, 2021","5.6249","5.6701","5.7067","5.6236","-0.88%"
"Dec 24, 2021","5.6750","5.6753","5.6753","5.6753","0.00%"
"Dec 23, 2021","5.6749","5.6554","5.7193","5.6259","0.37%"
"Dec 22, 2021","5.6540","5.7425","5.7442","5.6470","-1.59%"
"Dec 21, 2021","5.7451","5.7417","5.7579","5.7112","0.05%"
"Dec 20, 2021","5.7420","5.7141","5.7467","5.6892","0.81%"
"Dec 17, 2021","5.6959","5.6887","5.7167","5.6610","0.13%"
"Dec 16, 2021","5.6884","5.6693","5.7256","5.6589","0.14%"
"Dec 15, 2021","5.6806","5.6873","5.7364","5.6574","-0.02%"
"Dec 14, 2021","5.6815","5.6681","5.6986","5.6179","0.02%"
"Dec 13, 2021","5.6804","5.6105","5.6813","5.6012","1.21%"
"Dec 10, 2021","5.6127","5.5599","5.6358","5.5580","0.72%"
"Dec 09, 2021","5.5727","5.5374","5.5999","5.5175","0.72%"
"Dec 08, 2021","5.5327","5.6027","5.6364","5.5256","-1.43%"
"Dec 07, 2021","5.6128","5.6890","5.6890","5.6085","-1.34%"
"Dec 06, 2021","5.6891","5.6532","5.7029","5.6350","0.64%"
"Dec 03, 2021","5.6532","5.6514","5.6864","5.6006","0.12%"
"Dec 02, 2021","5.6462","5.6632","5.6790","5.6139","-0.87%"
"Dec 01, 2021","5.6955","5.6243","5.6959","5.5770","1.27%"
"Nov 30, 2021","5.6239","5.6037","5.6704","5.5778","0.40%"
"Nov 29, 2021","5.6017","5.6085","5.6403","5.5794","-0.14%"
"Nov 26, 2021","5.6093","5.6561","5.6561","5.5719","0.77%"
"Nov 25, 2021","5.5664","5.5925","5.5991","5.5479","-0.71%"
"Nov 24, 2021","5.6061","5.5712","5.6235","5.5540","0.63%"
"Nov 23, 2021","5.5712","5.5854","5.6636","5.5672","-0.27%"
"Nov 22, 2021","5.5865","5.6013","5.6144","5.5620","-0.48%"
"Nov 19, 2021","5.6135","5.5782","5.6151","5.5208","1.01%"
"Nov 18, 2021","5.5576","5.5291","5.5775","5.5237","0.51%"
"Nov 17, 2021","5.5292","5.4986","5.5359","5.4655","0.48%"
"Nov 16, 2021","5.5028","5.4591","5.5093","5.4296","0.83%"
"Nov 15, 2021","5.4575","5.4570","5.4580","5.4570","-0.02%"
"Nov 12, 2021","5.4588","5.4044","5.4686","5.3927","1.11%"
"Nov 11, 2021","5.3989","5.4945","5.4945","5.3879","-1.68%"
"Nov 10, 2021","5.4910","5.5010","5.5103","5.4357","0.19%"
"Nov 09, 2021","5.4804","5.5477","5.5495","5.4559","-1.15%"
"Nov 08, 2021","5.5440","5.5667","5.5979","5.5328","0.02%"
"Nov 05, 2021","5.5428","5.5988","5.6075","5.5012","-1.06%"
"Nov 04, 2021","5.6020","5.5880","5.6281","5.5627","0.89%"
"Nov 03, 2021","5.5525","5.6807","5.7000","5.5447","-2.24%"
"Nov 02, 2021","5.6795","5.6849","5.6849","5.6800","-0.04%"
"Nov 01, 2021","5.6815","5.6221","5.6888","5.6206","0.79%"
"Oct 29, 2021","5.6372","5.6464","5.6636","5.5972","-0.16%"
"Oct 28, 2021","5.6464","5.5374","5.6636","5.5367","1.96%"
"Oct 27, 2021","5.5380","5.5668","5.5924","5.5367","-0.51%"
"Oct 26, 2021","5.5666","5.5557","5.6068","5.5466","0.19%"
"Oct 25, 2021","5.5563","5.6533","5.6587","5.5367","-1.61%"
"Oct 22, 2021","5.6474","5.6584","5.7547","5.6214","-0.18%"
"Oct 21, 2021","5.6577","5.5987","5.6907","5.5979","1.08%"
"Oct 20, 2021","5.5975","5.5851","5.6026","5.5198","0.23%"
"Oct 19, 2021","5.5844","5.5128","5.6125","5.5128","1.32%"
"Oct 18, 2021","5.5117","5.4576","5.5434","5.4576","0.93%"
"Oct 15, 2021","5.4611","5.5139","5.5139","5.4337","-0.94%"
"Oct 14, 2021","5.5132","5.5139","5.5308","5.4670","-0.00%"
"Oct 13, 2021","5.5133","5.5368","5.5737","5.4988","-0.35%"
"Oct 12, 2021","5.5325","5.5370","5.5372","5.5328","-0.08%"
"Oct 11, 2021","5.5367","5.5073","5.5445","5.4946","0.52%"
"Oct 08, 2021","5.5082","5.5187","5.5324","5.4768","-0.19%"
"Oct 07, 2021","5.5188","5.4937","5.5295","5.4667","0.50%"
"Oct 06, 2021","5.4912","5.4770","5.5381","5.4755","0.30%"
"Oct 05, 2021","5.4748","5.4546","5.4879","5.4240","0.39%"
"Oct 04, 2021","5.4535","5.3614","5.4593","5.3614","1.69%"
"Oct 01, 2021","5.3628","5.4432","5.4432","5.3527","-1.47%"
"Sep 30, 2021","5.4428","5.4120","5.4767","5.3668","0.51%"
"Sep 29, 2021","5.4152","5.4292","5.4471","5.3913","-0.26%"
"Sep 28, 2021","5.4293","5.3920","5.4521","5.3863","0.70%"
"Sep 27, 2021","5.3914","5.3384","5.3945","5.3067","1.07%"
"Sep 24, 2021","5.3344","5.3039","5.3549","5.3023","0.59%"
"Sep 23, 2021","5.3030","5.2618","5.3124","5.2561","0.27%"
"Sep 22, 2021","5.2888","5.2706","5.3191","5.2495","0.36%"
"Sep 21, 2021","5.2699","5.3252","5.3374","5.2626","-1.02%"
"Sep 20, 2021","5.3240","5.2851","5.3779","5.2849","0.68%"
"Sep 17, 2021","5.2883","5.2568","5.3472","5.2509","0.66%"
"Sep 16, 2021","5.2535","5.2375","5.2801","5.2315","0.61%"
"Sep 15, 2021","5.2219","5.2408","5.2722","5.2148","-0.34%"
"Sep 14, 2021","5.2398","5.2393","5.2642","5.1980","0.49%"
"Sep 13, 2021","5.2144","5.2490","5.2659","5.2008","-0.59%"
"Sep 10, 2021","5.2454","5.1677","5.2712","5.1637","0.92%"
"Sep 09, 2021","5.1976","5.3252","5.3347","5.1930","-2.33%"
"Sep 08, 2021","5.3214","5.2016","5.3344","5.1955","2.94%"
"Sep 07, 2021","5.1692","5.1705","5.1708","5.1704","-0.00%"
"Sep 06, 2021","5.1693","5.1920","5.2126","5.1547","-0.41%"
"Sep 03, 2021","5.1908","5.1830","5.2017","5.1310","0.17%"
"Sep 02, 2021","5.1819","5.1864","5.2013","5.1420","-0.08%"
"Sep 01, 2021","5.1858","5.1694","5.1984","5.1417","0.71%"
"Aug 31, 2021","5.1492","5.1845","5.1973","5.1154","-0.67%"
"Aug 30, 2021","5.1840","5.1999","5.2266","5.1817","-0.30%"
"Aug 27, 2021","5.1996","5.2577","5.2615","5.1869","-1.00%"
"Aug 26, 2021","5.2522","5.2097","5.2676","5.2097","0.78%"
"Aug 25, 2021","5.2117","5.2482","5.2709","5.2058","-0.66%"
"Aug 24, 2021","5.2463","5.3801","5.3828","5.2452","-2.49%"
"Aug 23, 2021","5.3802","5.3795","5.4023","5.3440","0.06%"
"Aug 20, 2021","5.3770","5.4155","5.4757","5.3656","-0.69%"
"Aug 19, 2021","5.4142","5.4187","5.4560","5.3795","0.65%"
"Aug 18, 2021","5.3794","5.2839","5.3974","5.2625","1.60%"
"Aug 17, 2021","5.2948","5.2820","5.3046","5.2358","0.67%"
"Aug 16, 2021","5.2595","5.2439","5.2971","5.2285","0.25%"
"Aug 13, 2021","5.2466","5.2532","5.2816","5.2198","-0.11%"
"Aug 12, 2021","5.2524","5.2193","5.2618","5.2089","0.65%"
"Aug 11, 2021","5.2185","5.1898","5.2347","5.1636","0.56%"
"Aug 10, 2021","5.1895","5.2334","5.2631","5.1847","-0.83%"
"Aug 09, 2021","5.2331","5.2325","5.2993","5.2146","0.06%"
"Aug 06, 2021","5.2301","5.2467","5.2757","5.2049","-0.36%"
"Aug 05, 2021","5.2488","5.1700","5.2586","5.1101","1.55%"
"Aug 04, 2021","5.1685","5.1975","5.2463","5.1649","-0.54%"
"Aug 03, 2021","5.1967","5.1708","5.2750","5.1651","0.43%"
"Aug 02, 2021","5.1747","5.2158","5.2193","5.1136","-0.72%"
"Jul 30, 2021","5.2123","5.0773","5.2287","5.0754","2.58%"
"Jul 29, 2021","5.0812","5.1165","5.1165","5.0406","-0.67%"
"Jul 28, 2021","5.1157","5.1710","5.1926","5.1040","-1.03%"
"Jul 27, 2021","5.1690","5.1769","5.2061","5.1486","-0.14%"
"Jul 26, 2021","5.1761","5.2051","5.2304","5.1516","-0.47%"
"Jul 23, 2021","5.2006","5.1858","5.2332","5.1583","0.01%"
"Jul 22, 2021","5.2003","5.1887","5.2249","5.1670","0.25%"
"Jul 21, 2021","5.1874","5.2413","5.2782","5.1806","-0.63%"
"Jul 20, 2021","5.2205","5.2526","5.2950","5.2017","-0.60%"
"Jul 19, 2021","5.2519","5.1185","5.2591","5.1185","2.68%"
"Jul 16, 2021","5.1147","5.1129","5.1281","5.0742","0.09%"
"Jul 15, 2021","5.1100","5.0715","5.1389","5.0530","0.78%"
"Jul 14, 2021","5.0706","5.1638","5.1656","5.0666","-1.77%"
"Jul 13, 2021","5.1622","5.1747","5.2232","5.1479","-0.21%"
"Jul 12, 2021","5.1730","5.2586","5.2850","5.1630","-1.65%"
"Jul 09, 2021","5.2597","5.2597","5.2597","5.2597","0.03%"
"Jul 08, 2021","5.2579","5.2315","5.3145","5.2186","0.50%"
"Jul 07, 2021","5.2315","5.1969","5.2815","5.1696","0.67%"
"Jul 06, 2021","5.1969","5.0968","5.2175","5.0753","2.08%"
"Jul 05, 2021","5.0910","5.0551","5.1007","5.0459","0.66%"
"Jul 02, 2021","5.0575","5.0507","5.0745","4.9875","0.20%"
"Jul 01, 2021","5.0476","4.9705","5.0557","4.9467","1.59%"
"Jun 30, 2021","4.9686","4.9566","5.0241","4.9527","0.26%"
"Jun 29, 2021","4.9559","4.9325","4.9714","4.9209","0.64%"
"Jun 28, 2021","4.9244","4.9307","4.9724","4.9171","-0.18%"
"Jun 25, 2021","4.9335","4.9143","4.9750","4.8929","0.40%"
"Jun 24, 2021","4.9137","4.9671","4.9720","4.8977","-1.07%"
"Jun 23, 2021","4.9667","4.9577","4.9802","4.9373","0.19%"
"Jun 22, 2021","4.9574","5.0143","5.0459","4.9569","-1.11%"
"Jun 21, 2021","5.0130","5.0753","5.0824","5.0129","-1.50%"
"Jun 18, 2021","5.0894","5.0077","5.1100","4.9815","1.67%"
"Jun 17, 2021","5.0059","5.0587","5.0760","5.0068","-0.96%"
"Jun 16, 2021","5.0545","5.0436","5.0821","4.9921","0.21%"
"Jun 15, 2021","5.0437","5.0601","5.1052","5.0378","-0.32%"
"Jun 14, 2021","5.0601","5.1153","5.1190","5.0539","-1.11%"
"Jun 11, 2021","5.1171","5.0590","5.1395","5.0530","1.22%"
"Jun 10, 2021","5.0552","5.0650","5.0922","5.0323","-0.14%"
"Jun 09, 2021","5.0621","5.0363","5.0863","5.0181","0.59%"
"Jun 08, 2021","5.0325","5.0468","5.0689","5.0205","-0.25%"
"Jun 07, 2021","5.0451","5.0466","5.0703","5.0172","-0.09%"
"Jun 04, 2021","5.0495","5.1135","5.1154","5.0320","-0.55%"
"Jun 03, 2021","5.0775","5.0786","5.0786","5.0780","0.04%"
"Jun 02, 2021","5.0754","5.1515","5.1754","5.0671","-1.47%"
"Jun 01, 2021","5.1509","5.2210","5.2212","5.1399","-1.27%"
"May 31, 2021","5.2172","5.2228","5.2632","5.1982","-0.14%"
"May 28, 2021","5.2244","5.2400","5.2664","5.2088","-0.27%"
"May 27, 2021","5.2383","5.3120","5.3133","5.2346","-1.38%"
"May 26, 2021","5.3115","5.3289","5.3435","5.2867","-0.37%"
"May 25, 2021","5.3312","5.3204","5.3474","5.2941","0.26%"
"May 24, 2021","5.3175","5.3664","5.3746","5.3095","-0.82%"
"May 21, 2021","5.3617","5.2843","5.3710","5.2703","1.50%"
"May 20, 2021","5.2825","5.3098","5.3109","5.2698","-0.51%"
"May 19, 2021","5.3094","5.2608","5.3261","5.2586","0.93%"
"May 18, 2021","5.2605","5.2754","5.2814","5.2298","-0.24%"
"May 17, 2021","5.2729","5.2725","5.3205","5.2442","0.00%"
"May 14, 2021","5.2728","5.3090","5.3090","5.2442","-0.68%"
"May 13, 2021","5.3090","5.3043","5.3331","5.2519","0.05%"
"May 12, 2021","5.3061","5.2227","5.3198","5.2105","1.63%"
"May 11, 2021","5.2208","5.2273","5.2823","5.2031","-0.12%"
"May 10, 2021","5.2272","5.2340","5.2526","5.1964","-0.18%"
"May 07, 2021","5.2368","5.2768","5.2952","5.2025","-0.74%"
"May 06, 2021","5.2760","5.3573","5.3752","5.2567","-1.46%"
"May 05, 2021","5.3542","5.4455","5.4478","5.3512","-1.64%"
"May 04, 2021","5.4435","5.4398","5.4843","5.4113","0.03%"
"May 03, 2021","5.4420","5.4360","5.4561","5.3727","0.10%"
"Apr 30, 2021","5.4366","5.3383","5.4489","5.3351","1.86%"
"Apr 29, 2021","5.3375","5.3428","5.3798","5.3274","-0.10%"
"Apr 28, 2021","5.3430","5.4526","5.4561","5.3429","-1.95%"
"Apr 27, 2021","5.4490","5.4366","5.4673","5.4097","0.23%"
"Apr 26, 2021","5.4364","5.4757","5.4904","5.4318","-0.71%"
"Apr 23, 2021","5.4751","5.4446","5.5240","5.4239","0.56%"
"Apr 22, 2021","5.4448","5.5669","5.5669","5.4373","-2.23%"
"Apr 21, 2021","5.5690","5.5692","5.5695","5.5692","0.01%"
"Apr 20, 2021","5.5687","5.5461","5.5883","5.5022","0.41%"
"Apr 19, 2021","5.5461","5.5873","5.6224","5.5262","-0.76%"
"Apr 16, 2021","5.5883","5.6142","5.6781","5.5658","-0.50%"
"Apr 15, 2021","5.6162","5.6540","5.6603","5.5951","-0.64%"
"Apr 14, 2021","5.6526","5.7180","5.7359","5.6452","-1.12%"
"Apr 13, 2021","5.7166","5.7340","5.7562","5.6629","-0.29%"
"Apr 12, 2021","5.7333","5.6822","5.7425","5.6300","0.90%"
"Apr 09, 2021","5.6821","5.5682","5.6852","5.5665","1.98%"
"Apr 08, 2021","5.5720","5.6136","5.6174","5.5381","-0.75%"
"Apr 07, 2021","5.6143","5.5904","5.6550","5.5474","0.43%"
"Apr 06, 2021","5.5904","5.6642","5.6698","5.5742","-1.29%"
"Apr 05, 2021","5.6632","5.7100","5.7101","5.6323","-0.78%"
"Apr 02, 2021","5.7075","5.7080","5.7080","5.7080","0.01%"
"Apr 01, 2021","5.7071","5.6330","5.7276","5.6080","1.34%"
"Mar 31, 2021","5.6315","5.7740","5.7768","5.6214","-2.48%"
"Mar 30, 2021","5.7745","5.7824","5.8034","5.7200","-0.09%"
"Mar 29, 2021","5.7799","5.7550","5.8069","5.7359","0.40%"
"Mar 26, 2021","5.7566","5.6473","5.7589","5.6448","1.93%"
"Mar 25, 2021","5.6475","5.6213","5.6821","5.6174","0.47%"
"Mar 24, 2021","5.6209","5.5216","5.6432","5.4891","1.80%"
"Mar 23, 2021","5.5214","5.5045","5.5509","5.4640","0.31%"
"Mar 22, 2021","5.5045","5.5087","5.5483","5.4936","0.23%"
"Mar 19, 2021","5.4917","5.5609","5.5640","5.4482","-1.24%"
"Mar 18, 2021","5.5604","5.5860","5.5860","5.4763","-0.41%"
"Mar 17, 2021","5.5832","5.6249","5.6827","5.5688","-0.74%"
"Mar 16, 2021","5.6246","5.6252","5.6344","5.5574","0.16%"
"Mar 15, 2021","5.6156","5.5501","5.6568","5.5310","1.15%"
"Mar 12, 2021","5.5518","5.5362","5.5873","5.5324","0.29%"
"Mar 11, 2021","5.5357","5.6078","5.6215","5.5257","-2.40%"
"Mar 10, 2021","5.6720","5.7902","5.8144","5.6443","-2.25%"
