,Date,Close,Price
3109,2011-12-07,64872.0,1.7992
3110,2011-12-08,64511.0,1.822
3111,2011-12-09,65216.0,1.7979
3112,2011-12-12,64284.0,1.8439
3113,2011-12-13,63529.0,1.8647
3114,2011-12-14,63691.0,1.8798
3115,2011-12-15,62923.0,1.8602
3116,2011-12-16,61738.0,1.852
3117,2011-12-19,61293.0,1.8687
3118,2011-12-20,63058.0,1.845
3119,2011-12-21,62106.0,1.8607
3120,2011-12-22,61955.0,1.8562
3121,2011-12-23,62699.0,1.8567
3122,2011-12-26,63010.0,1.8558
3123,2011-12-27,62618.0,1.8613
3124,2011-12-28,62494.0,1.874
3125,2011-12-29,61539.0,1.8657
3126,2011-12-30,61971.0,1.8632
3127,2012-01-02,61750.0,1.8708
3128,2012-01-03,62198.0,1.8304
3129,2012-01-04,61691.0,1.8323
3130,2012-01-05,61820.0,1.8437
3131,2012-01-06,62424.0,1.8579
3132,2012-01-09,62104.0,1.8329
3133,2012-01-10,60821.0,1.7995
3134,2012-01-11,61220.0,1.803
3135,2012-01-12,60365.0,1.778
3136,2012-01-13,59786.0,1.7849
3137,2012-01-16,59702.0,1.7859
3138,2012-01-17,59445.0,1.788
3139,2012-01-18,57540.0,1.7649
3140,2012-01-19,56238.0,1.7655
3141,2012-01-20,55888.0,1.7548
3142,2012-01-23,54038.0,1.7552
3143,2012-01-24,54513.0,1.7585
3144,2012-01-25,56590.0,1.7605
3145,2012-01-26,55039.0,1.7505
3146,2012-01-27,54619.0,1.7374
3147,2012-01-30,54063.0,1.75
3148,2012-01-31,54463.0,1.7472
3149,2012-02-01,55213.0,1.7342
3150,2012-02-02,54633.0,1.7195
3151,2012-02-03,53798.0,1.7161
3152,2012-02-06,54490.0,1.7266
3153,2012-02-07,53403.0,1.726
3154,2012-02-08,53417.0,1.7214
3155,2012-02-09,52481.0,1.7163
3156,2012-02-10,54156.0,1.7208
3157,2012-02-13,54430.0,1.7165
3158,2012-02-14,54001.0,1.7211
3159,2012-02-15,55049.0,1.7289
3160,2012-02-16,55651.0,1.7165
3161,2012-02-17,55352.0,1.715
3162,2012-02-20,56105.0,1.7178
3163,2012-02-21,56195.0,1.7175
3164,2012-02-22,57195.0,1.7064
3165,2012-02-23,57167.0,1.7137
3166,2012-02-24,55505.0,1.7094
3167,2012-02-27,55440.0,1.7077
3168,2012-02-28,53805.0,1.695
3169,2012-02-29,53837.0,1.7174
3170,2012-03-01,53109.0,1.7138
3171,2012-03-02,52652.0,1.7311
3172,2012-03-05,54355.0,1.7394
3173,2012-03-06,54693.0,1.7584
3174,2012-03-07,55780.0,1.7665
3175,2012-03-08,56077.0,1.7612
3176,2012-03-09,56379.0,1.7914
3177,2012-03-12,55394.0,1.7995
3178,2012-03-13,53706.0,1.7926
3179,2012-03-14,53569.0,1.8054
3180,2012-03-15,53421.0,1.7991
3181,2012-03-16,54331.0,1.8003
3182,2012-03-19,53402.0,1.8215
3183,2012-03-20,53909.0,1.8144
3184,2012-03-21,54583.0,1.8226
3185,2012-03-22,55347.0,1.8199
3186,2012-03-23,54195.0,1.8106
3187,2012-03-26,53034.0,1.8175
3188,2012-03-27,52639.0,1.8219
3189,2012-03-28,52608.0,1.823
3190,2012-03-29,54003.0,1.8224
3191,2012-03-30,56553.0,1.8264
3192,2012-04-02,57241.0,1.8329
3193,2012-04-03,56097.0,1.8255
3194,2012-04-04,55623.0,1.8263
3195,2012-04-05,55520.0,1.8214
3196,2012-04-06,57255.0,1.8214
3197,2012-04-09,58345.0,1.8173
3198,2012-04-10,57726.0,1.8337
3199,2012-04-11,58951.0,1.8358
3200,2012-04-12,58797.0,1.8272
3201,2012-04-13,59281.0,1.8372
3202,2012-04-16,59123.0,1.8478
3203,2012-04-17,58083.0,1.8612
3204,2012-04-18,58189.0,1.879
3205,2012-04-19,59446.0,1.8806
3206,2012-04-20,59082.0,1.8724
3207,2012-04-23,59283.0,1.8802
3208,2012-04-24,58918.0,1.8821
3209,2012-04-25,59381.0,1.8788
3210,2012-04-26,58512.0,1.8855
3211,2012-04-27,58426.0,1.8861
3212,2012-04-30,58111.0,1.9088
3213,2012-05-01,58406.0,1.9047
3214,2012-05-02,57369.0,1.9243
3215,2012-05-03,57256.0,1.9085
3216,2012-05-04,57061.0,1.9275
3217,2012-05-07,57281.0,1.9194
3218,2012-05-08,56234.0,1.9397
3219,2012-05-09,56864.0,1.9715
3220,2012-05-10,58321.0,1.9529
3221,2012-05-11,58404.0,1.966
3222,2012-05-14,59423.0,1.9951
3223,2012-05-15,59922.0,2.0017
3224,2012-05-16,61958.0,2.0005
3225,2012-05-17,62105.0,2.0092
3226,2012-05-18,61806.0,2.0237
3227,2012-05-21,61804.0,2.0417
3228,2012-05-22,61652.0,2.0907
3229,2012-05-23,61688.0,2.0309
3230,2012-05-24,61320.0,2.0282
3231,2012-05-25,61910.0,1.9846
3232,2012-05-28,60501.0,1.9832
3233,2012-05-29,60478.0,1.9895
3234,2012-05-30,60240.0,2.016
3235,2012-05-31,59176.0,2.0226
3236,2012-06-01,59571.0,2.04
3237,2012-06-04,59222.0,2.056
3238,2012-06-05,58627.0,2.0248
3239,2012-06-06,58458.0,2.0328
3240,2012-06-07,58572.0,2.0328
3241,2012-06-08,59317.0,2.0213
3242,2012-06-11,58939.0,2.0652
3243,2012-06-12,58456.0,2.0684
3244,2012-06-13,59162.0,2.0719
3245,2012-06-14,59602.0,2.0569
3246,2012-06-15,59744.0,2.0484
3247,2012-06-18,60087.0,2.0641
3248,2012-06-19,59734.0,2.0279
3249,2012-06-20,58922.0,2.0256
3250,2012-06-21,58700.0,2.0631
3251,2012-06-22,57690.0,2.0675
3252,2012-06-25,57161.0,2.0613
3253,2012-06-26,57837.0,2.0724
3254,2012-06-27,57277.0,2.0764
3255,2012-06-28,57177.0,2.0765
3256,2012-06-29,57684.0,2.0095
3257,2012-07-02,57068.0,1.9849
3258,2012-07-03,58383.0,2.0156
3259,2012-07-04,58210.0,2.0279
3260,2012-07-05,59459.0,2.0194
3261,2012-07-06,58517.0,2.0281
3262,2012-07-09,57524.0,2.0323
3263,2012-07-10,57358.0,2.0333
3264,2012-07-11,57064.0,2.0345
3265,2012-07-12,57486.0,2.0373
3266,2012-07-13,56279.0,2.037
3267,2012-07-16,55402.0,2.0347
3268,2012-07-17,56451.0,2.022
3269,2012-07-18,56242.0,2.0227
3270,2012-07-19,56437.0,2.0125
3271,2012-07-20,57574.0,2.0236
3272,2012-07-23,56737.0,2.0389
3273,2012-07-24,56248.0,2.0477
3274,2012-07-25,56539.0,2.0331
3275,2012-07-26,57853.0,2.0213
3276,2012-07-27,57475.0,2.0212
3277,2012-07-30,58202.0,2.0405
3278,2012-07-31,57563.0,2.0567
3279,2012-08-01,57679.0,2.0443
3280,2012-08-02,57656.0,2.0497
3281,2012-08-03,58487.0,2.0282
3282,2012-08-06,59248.0,2.0312
3283,2012-08-07,59623.0,2.0285
3284,2012-08-08,59474.0,2.0205
3285,2012-08-09,59317.0,2.013
3286,2012-08-10,59605.0,2.0149
3287,2012-08-13,59567.0,2.0204
3288,2012-08-14,60461.0,2.0266
3289,2012-08-15,60998.0,2.0225
3290,2012-08-16,61276.0,2.0168
3291,2012-08-17,61007.0,2.0155
3292,2012-08-20,60960.0,2.0168
3293,2012-08-21,60416.0,2.0158
3294,2012-08-22,60952.0,2.0165
3295,2012-08-23,62550.0,2.0237
3296,2012-08-24,63312.0,2.0271
3297,2012-08-27,62523.0,2.0342
3298,2012-08-28,61933.0,2.044
3299,2012-08-29,61128.0,2.05
3300,2012-08-30,61579.0,2.0488
3301,2012-08-31,61678.0,2.0293
3302,2012-09-03,61497.0,2.033
3303,2012-09-04,62081.0,2.0427
3304,2012-09-05,61728.0,2.0393
3305,2012-09-06,61787.0,2.0281
3306,2012-09-07,62194.0,2.0281
3307,2012-09-10,61956.0,2.0224
3308,2012-09-11,61900.0,2.0167
3309,2012-09-12,61692.0,2.0271
3310,2012-09-13,61966.0,2.0211
3311,2012-09-14,61170.0,2.0119
3312,2012-09-17,60027.0,2.0329
3313,2012-09-18,60406.0,2.0231
3314,2012-09-19,59337.0,2.0242
3315,2012-09-20,59761.0,2.0213
3316,2012-09-21,60351.0,2.0225
3317,2012-09-24,59576.0,2.0264
3318,2012-09-25,59445.0,2.0315
3319,2012-09-26,58951.0,2.0362
3320,2012-09-27,58372.0,2.0293
3321,2012-09-28,58498.0,2.0257
3322,2012-10-01,58406.0,2.0264
3323,2012-10-02,58077.0,2.0257
3324,2012-10-03,57903.0,2.022
3325,2012-10-04,57614.0,2.0177
3326,2012-10-05,57314.0,2.031
3327,2012-10-08,56178.0,2.0297
3328,2012-10-09,56155.0,2.0362
3329,2012-10-10,56697.0,2.0426
3330,2012-10-11,56618.0,2.0423
3331,2012-10-12,56949.0,2.0445
3332,2012-10-15,57274.0,2.0363
3333,2012-10-16,57424.0,2.033
3334,2012-10-17,56884.0,2.032
3335,2012-10-18,56499.0,2.0263
3336,2012-10-19,55951.0,2.0277
3337,2012-10-22,57940.0,2.0242
3338,2012-10-23,58847.0,2.027
3339,2012-10-24,58433.0,2.0252
3340,2012-10-25,58545.0,2.0252
3341,2012-10-26,58209.0,2.027
3342,2012-10-29,57386.0,2.0335
3343,2012-10-30,57281.0,2.0307
3344,2012-10-31,56869.0,2.0309
3345,2012-11-01,56973.0,2.031
3346,2012-11-02,56361.0,2.0316
3347,2012-11-05,56030.0,2.0353
3348,2012-11-06,55577.0,2.0321
3349,2012-11-07,55243.0,2.0337
3350,2012-11-08,54873.0,2.0404
3351,2012-11-09,55671.0,2.0463
3352,2012-11-12,56034.0,2.051
3353,2012-11-13,56352.0,2.0583
3354,2012-11-14,55902.0,2.0669
3355,2012-11-15,54889.0,2.0665
3356,2012-11-16,55563.0,2.0842
3357,2012-11-19,54648.0,2.0762
3358,2012-11-20,55051.0,2.0805
3359,2012-11-21,55092.0,2.0988
3360,2012-11-22,55912.0,2.1048
3361,2012-11-23,56187.0,2.0816
3362,2012-11-26,55401.0,2.083
3363,2012-11-27,54963.0,2.0842
3364,2012-11-28,52950.0,2.0928
3365,2012-11-29,53991.0,2.0987
3366,2012-11-30,52882.0,2.1361
3367,2012-12-03,53166.0,2.1193
3368,2012-12-04,53929.0,2.1197
3369,2012-12-05,54298.0,2.0878
3370,2012-12-06,54885.0,2.0774
3371,2012-12-07,54984.0,2.0747
3372,2012-12-10,54963.0,2.0768
3373,2012-12-11,54252.0,2.0787
3374,2012-12-12,54887.0,2.072
3375,2012-12-13,55910.0,2.0852
3376,2012-12-14,55322.0,2.0856
3377,2012-12-17,55488.0,2.0995
3378,2012-12-18,55430.0,2.089
3379,2012-12-19,56275.0,2.0716
3380,2012-12-20,55805.0,2.0694
3381,2012-12-21,55448.0,2.0783
3382,2012-12-24,55108.0,2.0783
3383,2012-12-25,54448.0,2.0783
3384,2012-12-26,54667.0,2.0491
3385,2012-12-27,54936.0,2.0434
3386,2012-12-28,54773.0,2.0475
3387,2012-12-31,55164.0,2.0485
3388,2013-01-01,55701.0,2.0485
3389,2013-01-02,56265.0,2.0452
3390,2013-01-03,56429.0,2.0459
3391,2013-01-04,56350.0,2.0347
3392,2013-01-07,56406.0,2.0267
3393,2013-01-08,56396.0,2.0415
3394,2013-01-09,56036.0,2.0381
3395,2013-01-10,54635.0,2.029
3396,2013-01-11,53506.0,2.0332
3397,2013-01-14,53944.0,2.0318
3398,2013-01-15,54018.0,2.0358
3399,2013-01-16,52799.0,2.0424
3400,2013-01-17,52885.0,2.0385
3401,2013-01-18,51619.0,2.0408
3402,2013-01-21,51317.0,2.0418
3403,2013-01-22,49770.0,2.0429
3404,2013-01-23,49181.0,2.0354
3405,2013-01-24,50415.0,2.03
3406,2013-01-25,49332.0,2.03
3407,2013-01-28,49089.0,1.9958
3408,2013-01-29,49465.0,1.9859
3409,2013-01-30,47893.0,1.9914
3410,2013-01-31,48214.0,1.9908
3411,2013-02-01,47056.0,1.9878
3412,2013-02-04,45965.0,1.996
3413,2013-02-05,46893.0,1.9845
3414,2013-02-06,47172.0,1.9903
3415,2013-02-07,47609.0,1.9667
